파일명,파일ID,카카오톡_전송용_URL,추출된_품번
14-10280-004.jpg,1DWji3hTMUbyrXTcKCqhUoNjHYv6OgAdh,https://drive.google.com/uc?export=view&id=1DWji3hTMUbyrXTcKCqhUoNjHYv6OgAdh,14-10280-004
14-10280-002.jpg,1UUrMyRf0ncvGX6-PjEs2pD_2eRZCnrXt,https://drive.google.com/uc?export=view&id=1UUrMyRf0ncvGX6-PjEs2pD_2eRZCnrXt,14-10280-002
14-10280-003.jpg,1djqSml4mG7jkKaIPEMuVCDg7eisf40c0,https://drive.google.com/uc?export=view&id=1djqSml4mG7jkKaIPEMuVCDg7eisf40c0,14-10280-003
14-10274-005.jpg,1idBVLkLsqf8O08jmwPF2rgWsT8Hjvwlh,https://drive.google.com/uc?export=view&id=1idBVLkLsqf8O08jmwPF2rgWsT8Hjvwlh,14-10274-005
14-10280-001.jpg,1_usAZgWqN_KLUHV6ZNAFH0nUeGNuE57B,https://drive.google.com/uc?export=view&id=1_usAZgWqN_KLUHV6ZNAFH0nUeGNuE57B,14-10280-001
14-10274-004.jpg,1gheHPx7eE5BO_xtfaU_bJnBdqzr5dvp2,https://drive.google.com/uc?export=view&id=1gheHPx7eE5BO_xtfaU_bJnBdqzr5dvp2,14-10274-004
14-10274-003.jpg,1IvZ1hded6WdfKTq6-e82bQ-Y3sa5o9Nd,https://drive.google.com/uc?export=view&id=1IvZ1hded6WdfKTq6-e82bQ-Y3sa5o9Nd,14-10274-003
14-10274-002.jpg,1eJBXrl5ck5SyW1IkPF3qoV6KJyL1Ecez,https://drive.google.com/uc?export=view&id=1eJBXrl5ck5SyW1IkPF3qoV6KJyL1Ecez,14-10274-002
14-10273-004.jpg,1FBRcsUAJLSlcHZx8HW6Aq_bGVe44Skdc,https://drive.google.com/uc?export=view&id=1FBRcsUAJLSlcHZx8HW6Aq_bGVe44Skdc,14-10273-004
14-10274-001.jpg,1hXhVnndFT7XIqER3QoRDQpdYMelr3xoM,https://drive.google.com/uc?export=view&id=1hXhVnndFT7XIqER3QoRDQpdYMelr3xoM,14-10274-001
14-10273-003.jpg,1ChslAK2pfG-VyJw9og6Tj6te6PwBPilV,https://drive.google.com/uc?export=view&id=1ChslAK2pfG-VyJw9og6Tj6te6PwBPilV,14-10273-003
14-10273-002.jpg,1bzpAkINpjIHZ7QfTVB6bzi8xwanBMGwQ,https://drive.google.com/uc?export=view&id=1bzpAkINpjIHZ7QfTVB6bzi8xwanBMGwQ,14-10273-002
14-10273-001.jpg,1Z1oW2SVol6DeCIGAHT1KGIQoR-6-8D0-,https://drive.google.com/uc?export=view&id=1Z1oW2SVol6DeCIGAHT1KGIQoR-6-8D0-,14-10273-001
14-10269-004.jpg,1nbPJdhRsJhUSmYwVn5_h2kqQ9921QLxa,https://drive.google.com/uc?export=view&id=1nbPJdhRsJhUSmYwVn5_h2kqQ9921QLxa,14-10269-004
14-10269-003.jpg,1l5yEDlvXtb3GMCQ_McW027tSt_IHP4sS,https://drive.google.com/uc?export=view&id=1l5yEDlvXtb3GMCQ_McW027tSt_IHP4sS,14-10269-003
14-10269-002.jpg,1oBXIH29_lM0V2gnpY7ed3cxd6avzMLzC,https://drive.google.com/uc?export=view&id=1oBXIH29_lM0V2gnpY7ed3cxd6avzMLzC,14-10269-002
14-10269-001.jpg,1t817eH_qYDRmOJz4U_easY5hWM6KjIX_,https://drive.google.com/uc?export=view&id=1t817eH_qYDRmOJz4U_easY5hWM6KjIX_,14-10269-001
14-10268-008.jpg,1ECfscFYCK0jetATX5ij9DTKCw2oPMXQ1,https://drive.google.com/uc?export=view&id=1ECfscFYCK0jetATX5ij9DTKCw2oPMXQ1,14-10268-008
14-10268-007.jpg,1Q2I5_t1RLCSpoNwS8rhqRLMsn1xSqAHj,https://drive.google.com/uc?export=view&id=1Q2I5_t1RLCSpoNwS8rhqRLMsn1xSqAHj,14-10268-007
14-10268-006.jpg,1t7Nbag28Xcaq2WKyOG2CMShMwHcxycWg,https://drive.google.com/uc?export=view&id=1t7Nbag28Xcaq2WKyOG2CMShMwHcxycWg,14-10268-006
14-10268-004.jpg,1jzbJQ6tizmH_QSrhAbXTIth1yYLwiqcF,https://drive.google.com/uc?export=view&id=1jzbJQ6tizmH_QSrhAbXTIth1yYLwiqcF,14-10268-004
